No.	Observed Passband	Photometry Measurement	Uncertainty	Units	Frequency	NED Photometry Measurement	NED Uncertainty	NED Units	Refcode	Significance	Published frequency	Frequency Mode	Coordinates Targeted	Spatial Mode	Qualifiers	Comments	log v	log(Jy)
58	F_J (total)         	1.9	+/-1.31 	log milliJy         	2.41E+14	7.94E-02	+/-2.06E-02	Jy	1995ApJ...453..616S	1 sigma	1.244      microns   	 Broad-band measurement		 Corrected to total flux from single aperture measurement	                                        	Homogenized from new and previously published data	14.38201704	-15.48219654
59	J_20 (2MASS LGA)    	11.21	+/-0.019	mag                 	2.40E+14	5.22E-02	+/-9.22E-04	Jy	2003AJ....125..525J	1 sigma uncert.	 1.25      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux integrated from map	  45.0 x   45.0 arcsec integration area.	From new raw data	14.38021124	-15.66254074
60	J_Kron (2MASS LGA)  	11.21	+/-0.019	mag                 	2.40E+14	5.22E-02	+/-9.22E-04	Jy	2003AJ....125..525J	1 sigma uncert.	 1.25      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux integrated from map	  45.0 x   45.0 arcsec integration area.	From new raw data	14.38021124	-15.66254074
61	J_tot (2MASS LGA)   	11.035	+/-0.026	mag                 	2.40E+14	6.14E-02	+/-1.49E-03	Jy	2003AJ....125..525J	1 sigma uncert.	 1.25      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Total flux	                                        	From new raw data	14.38021124	-15.59204287
62	J_14arcsec (2MASS)  	12.041	+/-0.017	mag                 	2.40E+14	2.43E-02	+/-3.83E-04	Jy	20032MASX.C.......:	1 sigma uncert.	 1.25      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux in fixed aperture	14.0 x 14.0 arcsec aperture             	From new raw data	14.38021124	-15.99460497
63	H (ESO/SPM)         	45.1	+/-3.00 	milliJy             	1.90E+14	4.51E-02	+/-3.00E-03	Jy	1995ApJ...453..616S	rms uncertainty	1.580      microns   	 Broad-band measurement	153246.8 +234007 (B1950)	 Flux in fixed aperture	"15"" aperture                            "	From new raw data	14.2787536	-15.62457706
64	F_H (total)         	2.16	+/-1.57 	log milliJy         	1.84E+14	1.45E-01	+/-3.74E-02	Jy	1995ApJ...453..616S	1 sigma	1.634      microns   	 Broad-band measurement		 Corrected to total flux from single aperture measurement	                                        	Homogenized from new and previously published data	14.26481782	-15.10344982
65	H_20 (2MASS LGA)    	10.413	+/-0.019	mag                 	1.82E+14	7.00E-02	+/-1.24E-03	Jy	2003AJ....125..525J	1 sigma uncert.	 1.65      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux integrated from map	  45.0 x   45.0 arcsec integration area.	From new raw data	14.26007139	-15.41497335
66	H_Kron (2MASS LGA)  	10.412	+/-0.019	mag                 	1.82E+14	7.01E-02	+/-1.24E-03	Jy	2003AJ....125..525J	1 sigma uncert.	 1.65      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux integrated from map	  45.0 x   45.0 arcsec integration area.	From new raw data	14.26007139	-15.41435337
67	H (UH)              	10.93	+/-0.07 	 mag                	1.82E+14	4.42E-02	+/-2.85E-03	Jy	2000ApJ...529..170S	uncertainty	    1.65   microns   	 Broad-band measurement	15 34 57.3 +23 30 11.9 (J2000)	 Flux in fixed aperture	                                        	From new raw data	14.26007139	-15.61464912
