No.	Observed Passband	Photometry Measurement	Uncertainty	Units	Frequency	NED Photometry Measurement	NED Uncertainty	NED Units	Refcode	Significance	Published frequency	Frequency Mode	Coordinates Targeted	Spatial Mode	Qualifiers	Comments	log v	log(Jy)
169	57 microns (ISO)    	134.2	+/-11.8 	 Jy                 	5.26E+12	1.34E+02	+/-1.18E+01	Jy	2008ApJS..178..280B	uncertainty	        57 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.72098574	-10.59388095
170	60 microns (IRAS)   	104.09	+/-0.112	Jy                  	5.00E+12	1.04E+02	+/-1.12E-01	Jy	2003AJ....126.1607S	1 sigma	      60   microns   	 Broad-band measurement	15 34 57.1 +23 30 10 (J2000)	 Total flux	"Size, Method, Flag codes: UT;see paper  "	From reprocessed raw data	12.69897	-10.68193667
171	60 microns (IRAS)   	1.04E+02	+/-4   %	Jy                  	5.00E+12	1.04E+02	+/-4.15E+00	Jy	1990IRASF.C...0000M	uncertainty	 60        microns   	 Broad-band measurement	153246.8 +234007 (B1950)	 Flux in fixed aperture	IRAS quality flag = 3                   	From new raw data	12.69897	-10.68193667
172	60 microns (IRAS)   	103.33	+/-0.144	Jy                  	5.00E+12	1.03E+02	+/-1.44E-01	Jy	1989AJ.....98..766S	rms noise	60         microns   	 Broad-band measurement	153246.3 +234008 (B1950)	 Integrated from scans	Unresolved with 1.44' beam              	From reprocessed raw data	12.69897	-10.68613278
173	60 microns (ISO)    	113.35	+/-30  %	Jy                  	4.93E+12	1.13E+02	+/-3.40E+01	Jy	2001A&A...379..823K	uncertainty	60         microns   	 Broad-band measurement		 Flux integrated from map	"Aperture 46"" x 46""                      "	From new raw data	12.69284692	-10.63976848
174	63 microns (ISO)    	148.1	+/-15.0 	 Jy                 	4.76E+12	1.48E+02	+/-1.50E+01	Jy	2008ApJS..178..280B	uncertainty	        63 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.67760695	-10.50734524
175	88 microns (ISO)    	151.4	+/-18.7 	 Jy                 	3.41E+12	1.51E+02	+/-1.87E+01	Jy	2008ApJS..178..280B	uncertainty	        88 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.53275438	-10.35377743
176	90 microns (ISO)    	111.5	+/-30  %	Jy                  	3.15E+12	1.12E+02	+/-3.35E+01	Jy	2001A&A...379..823K	uncertainty	90         microns   	 Broad-band measurement		 Flux integrated from map	"Aperture 46"" x 46""                      "	From new raw data	12.49831055	-10.44909253
177	100 microns (IRAS)  	115.29	+/-0.138	Jy                  	3.00E+12	1.15E+02	+/-1.38E-01	Jy	2003AJ....126.1607S	1 sigma	     100   microns   	 Broad-band measurement	15 34 57.1 +23 30 10 (J2000)	 Total flux	"Size, Method, Flag codes: UT;see paper  "	From reprocessed raw data	12.47712125	-10.41642341
178	100 microns (IRAS)  	1.12E+02	+/-3   %	Jy                  	3.00E+12	1.12E+02	+/-3.37E+00	Jy	1990IRASF.C...0000M	uncertainty	 100       microns   	 Broad-band measurement	153246.8 +234007 (B1950)	 Flux in fixed aperture	IRAS quality flag = 2                   	From new raw data	12.47712125	-10.42790323
179	100 microns (IRAS)  	113.95	+/-0.207	Jy                  	3.00E+12	1.14E+02	+/-2.07E-01	Jy	1989AJ.....98..766S	rms noise	100        microns   	 Broad-band measurement	153246.3 +234008 (B1950)	 Integrated from scans	Unresolved with 2.94' beam              	From reprocessed raw data	12.47712125	-10.4202164
180	120 microns (ISO)   	109	+/-30  %	Jy                  	2.52E+12	1.09E+02	+/-3.27E+01	Jy	2001A&A...379..823K	uncertainty	120        microns   	 Broad-band measurement		 Flux integrated from map	"Aperture 184"" x 184""                    "	From new raw data	12.40140054	-10.36397404
181	120 microns (ISO)   	117.3	+/-0.20 	Jy                  	2.52E+12	1.17E+02	+/-2.00E-01	Jy	2002ApJ...572..105S	1 sigma uncert.	119.0      microns   	 Broad-band measurement		 From fitting to map	                                        	From new raw data	12.40140054	-10.33321468
182	122 microns (ISO)   	118.4	+/-9.5  	 Jy                 	2.46E+12	1.18E+02	+/-9.50E+00	Jy	2008ApJS..178..280B	uncertainty	       122 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.39093511	-10.3190531
183	145 microns (ISO)   	100.2	+/-10.1 	 Jy                 	2.07E+12	1.00E+02	+/-1.01E+01	Jy	2008ApJS..178..280B	uncertainty	       145 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.31597035	-10.31597035
184	158 microns (ISO)   	84.5	+/-8.5  	 Jy                 	1.90E+12	8.45E+01	+/-8.50E+00	Jy	2008ApJS..178..280B	uncertainty	       158 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.2787536	-10.35189689
185	150 microns (ISO)   	87.89	+/-30  %	Jy                  	1.86E+12	8.79E+01	+/-2.64E+01	Jy	2001A&A...379..823K	uncertainty	150        microns   	 Broad-band measurement		 Flux integrated from map	"Aperture 184"" x 184""                    "	From new raw data	12.26951294	-10.32552407
186	150 microns (ISO)   	79.4	+/-0.27 	Jy                  	1.86E+12	7.94E+01	+/-2.70E-01	Jy	2002ApJ...572..105S	1 sigma uncert.	161.0      microns   	 Broad-band measurement		 From fitting to map	                                        	From new raw data	12.26951294	-10.36969244
187	170 microns (ISO)   	77.1	+/-6.7  	 Jy                 	1.76E+12	7.71E+01	+/-6.70E+00	Jy	2008ApJS..178..280B	uncertainty	       170 microns   	 Broad-band measurement	15 34 57.34 +23 30 11.9 (J2000)	 Flux integrated from map	                                        	From new raw data	12.24551267	-10.35845829
188	170 microns (ISO)   	71.4	+/-0.10 	Jy                  	1.72E+12	7.14E+01	+/-1.00E-01	Jy	2002ApJ...572..105S	1 sigma uncert.	174.0      microns   	 Broad-band measurement		 From fitting to map	                                        	From new raw data	12.23552845	-10.38183024
189	180 microns (ISO)   	63.95	+/-30  %	Jy                  	1.62E+12	6.40E+01	+/-1.92E+01	Jy	2001A&A...379..823K	uncertainty	180        microns   	 Broad-band measurement		 Flux integrated from map	"Aperture 184"" x 184""                    "	From new raw data	12.20951501	-10.40333504
190	180 microns (ISO)   	41.1	+/-0.100	Jy                  	1.62E+12	4.11E+01	+/-1.00E-01	Jy	2002ApJ...572..105S	1 sigma uncert.	185.5      microns   	 Broad-band measurement		 From fitting to map	                                        	From new raw data	12.20951501	-10.59567319
191	CO(13-12) (Herschel)	450	+/-100  	Jy km/s             	1.50E+12	2.21E+09	+/-4.90E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	 1496.9229 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	12.17609126	-2.831698985
192	200 microns (ISO)   	54.81	+/-30  %	Jy                  	1.47E+12	5.48E+01	+/-1.64E+01	Jy	2001A&A...379..823K	uncertainty	200        microns   	 Broad-band measurement		 Flux integrated from map	"Aperture 184"" x 184""                    "	From new raw data	12.16731733	-10.42853678
193	200 microns (ISO)   	31.2	+/-0.30 	Jy                  	1.47E+12	3.12E+01	+/-3.00E-01	Jy	2002ApJ...572..105S	1 sigma uncert.	204.6      microns   	 Broad-band measurement		 From fitting to map	                                        	From new raw data	12.16731733	-10.67316274
194	CO(12-11) (Herschel)	840	+/-60   	Jy km/s             	1.38E+12	3.80E+09	+/-2.72E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	 1381.9951 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	12.13987909	-2.56009549
195	CO(11-10) (Herschel)	1280	+/-90   	Jy km/s             	1.27E+12	5.31E+09	+/-3.74E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	 1267.0145 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	12.10380372	-2.3787092
196	250 microns (SPIRE) 	30.1	+/-1.5  	Jy                  	1.20E+12	3.01E+01	+/-1.50E+00	Jy	2011ApJ...743...94R	uncertainty	       250 microns   	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	12.07918125	-10.60061475
197	250 microns (BLAST) 	24.2		Jy                  	1.20E+12	2.42E+01		Jy	2008ApJ...681..415T	no uncertainty reported	       250 microns   	 Broad-band measurement	15 34 57.21 +23 30 09.5 (J2000)	 Modelled datum	                                        	Averaged from previously published data	12.07918125	-10.69536588
198	CO(9-8) (Herschel)  	2920	+/-270  	Jy km/s             	1.04E+12	9.92E+09	+/-9.17E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	 1036.9124 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	12.01703334	-2.020521667
199	CO(8-7) (Herschel)  	3260	+/-200  	Jy km/s             	9.22E+11	9.85E+09	+/-6.04E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	  921.7997 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.96473092	-1.971294691
200	350 microns (SPIRE) 	11.7	+/-0.6  	Jy                  	8.57E+11	1.17E+01	+/-6.00E-01	Jy	2011ApJ...743...94R	uncertainty	       350 microns   	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	11.93298082	-10.86479496
201	350 microns (BLAST) 	9.8		Jy                  	8.57E+11	9.80E+00		Jy	2008ApJ...681..415T	no uncertainty reported	       350 microns   	 Broad-band measurement	15 34 57.21 +23 30 09.5 (J2000)	 Modelled datum	                                        	Averaged from previously published data	11.93298082	-10.94175475
202	350 microns         	11.7	+/-1.0  	Jy                  	8.57E+11	1.17E+01	+/-1.00E+00	Jy	1996MNRAS.278.1049R	based on count statistics only	350        microns   	 Broad-band measurement	153457.22 +233011.40 (J2000)	 Flux in fixed aperture	"8"" FWHP                                 "	From new raw data	11.93298082	-10.86479496
203	350 microns         	10.5	+/-3.3  	Jy                  	8.57E+11	1.05E+01	+/-3.30E+00	Jy	1989ApJ...339..859E	uncertainty	     350   microns   	 Broad-band measurement		 Flux in fixed aperture	"104"" aperture                           "	From new raw data	11.93298082	-10.91179152
204	350 microns         	9.74	+/-0.34 	Jy                  	8.57E+11	9.74E+00	+/-3.40E-01	Jy	1999CIT...T00R....B	1 sigma	350        microns   	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	11.93298082	-10.94442187
205	CI(2-1) (Herschel)  	2130	+/-400  	Jy km/s             	8.09E+11	5.65E+09	+/-1.06E+09	Jy-Hz	2011ApJ...743...94R	1 sigma	  809.3420 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.90794852	-2.155900074
206	CO(7-6) (Herschel)  	3460	+/-170  	Jy km/s             	8.07E+11	9.14E+09	+/-4.49E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	  806.6518 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.90687353	-1.945927339
207	CO(6-5) (JCMT)      	1210	+/-240  	Jy km/s             	6.91E+11	2.74E+09	+/-5.44E+08	Jy-Hz	2010ApJ...711..757P	uncertainty	   691.473 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.83947805	-2.401727485
208	CO(6-5) (JCMT)      	3130	+/-810  	Jy km/s             	6.91E+11	7.09E+09	+/-1.83E+09	Jy-Hz	2010ApJ...715..775P	uncertainty	   691.473 GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.24 +23 30 11.2 (J2000)	 Flux integrated from map	See paper for applied flux correction   	From new raw data	11.83947805	-1.988831812
209	CO(6-5) (Herschel)  	4070	+/-80   	Jy km/s             	6.91E+11	9.22E+09	+/-1.81E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	  691.4731 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.83947805	-1.874747126
210	689 GHz (SMA)       	2.5	+/-0.8  	Jy                  	6.89E+11	2.50E+00	+/-8.00E-01	Jy	2009ApJ...693...56M	uncertainty	    689.13 GHz       	 Broad-band measurement	15 34 57.19 +23 30 11.3 (J2000)	 Total flux	                                        	From new raw data	11.83821922	-11.44027921
211	450 microns         	3	+/-1.1  	Jy                  	6.67E+11	3.00E+00	+/-1.10E+00	Jy	1989ApJ...339..859E	uncertainty	     450   microns   	 Broad-band measurement		 Flux in fixed aperture	"104"" aperture                           "	From new raw data	11.82412583	-11.34700458
212	450 microns (SCUBA) 	6286	+/-786  	milliJy             	6.66E+11	6.29E+00	+/-7.86E-01	Jy	2001MNRAS.327..697D	uncertainty	     450   microns   	 Broad-band measurement	15 34 57.2 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data	11.82347423	-11.02482358
213	500 microns (SPIRE) 	3.9	+/-0.2  	Jy                  	6.00E+11	3.90E+00	+/-2.00E-01	Jy	2011ApJ...743...94R	uncertainty	       500 microns   	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	11.77815125	-11.18708664
214	500 microns (BLAST) 	3.9		Jy                  	6.00E+11	3.90E+00		Jy	2008ApJ...681..415T	no uncertainty reported	       500 microns   	 Broad-band measurement	15 34 57.21 +23 30 09.5 (J2000)	 Modelled datum	                                        	Averaged from previously published data	11.77815125	-11.18708664
215	CO(5-4) (Herschel)  	3660	+/-170  	Jy km/s             	5.76E+11	6.91E+09	+/-3.21E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	  576.2679 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.76042248	-1.920944436
216	HCN(6-5) (Herschel) 	1700	+/-120  	Jy km/s             	5.32E+11	2.96E+09	+/-2.09E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	  531.7164 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.72591163	-2.254619921
217	CI(1-0) (Herschel)  	1840	+/-70   	Jy km/s             	4.92E+11	2.97E+09	+/-1.13E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	  492.1606 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.6919651	-2.219208653
218	C I (J=1-0) (JCMT)  	1160	+/-350  	 Jy km/s            	4.92E+11	1.87E+05	+/-5.64E+04	Jy-Hz	2004ApJ...615L..29P	uncertainty	    492.16 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.6919651	-6.420123496
219	CO(4-3) (Herschel)  	4550	+/-330  	Jy km/s             	4.61E+11	6.87E+09	+/-4.98E+08	Jy-Hz	2011ApJ...743...94R	1 sigma	  461.0408 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.66370093	-1.826744188
220	800 microns         	0.825	+/-0.056	Jy                  	3.75E+11	8.25E-01	+/-5.60E-02	Jy	1996MNRAS.278.1049R	based on count statistics only	800        microns   	 Broad-band measurement	153457.22 +233011.40 (J2000)	 Flux in fixed aperture	"19"" FWHP                                "	From new raw data	11.57403127	-11.65757732
221	800 microns         	1.1	+/-0.4  	Jy                  	3.75E+11	1.10E+00	+/-4.00E-01	Jy	1989ApJ...339..859E	uncertainty	     800   microns   	 Broad-band measurement		 Flux in fixed aperture	"104"" aperture                           "	From new raw data	11.57403127	-11.53263858
222	HCO^+^(4-3) (ASTE)  		<135       	Jy km/s             	3.57E+11		1.58E+08	Jy-Hz	2010PASJ...62..201I	no uncertainty reported	   356.734 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.55266822	#NUM!
223	HCO^+^(4-3) (SMA)   	61	+/-10  %	Jy km/s             	3.57E+11	7.14E+07	+/-7.14E+06	Jy-Hz	2009ApJ...700L.104S	1 sigma	    356.73 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	West nucleaus flux                      	From new raw data	11.55266822	-3.698970004
224	HCO+(4-3) (JCMT)    	106	+/-23   	 Jy km/s            	3.57E+11	1.24E+08	+/-2.69E+07	Jy-Hz	2009ApJ...692.1432G	uncertainty	   356.734 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.55266822	-3.459246531
225	HCO^+^(4-3) (SMA)   	19	+/-10  %	Jy km/s             	3.57E+11	2.22E+07	+/-2.22E+06	Jy-Hz	2009ApJ...700L.104S	1 sigma	    356.73 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	East nucleaus flux                      	From new raw data	11.55266822	-4.206315242
226	HCN(4-3) (ASTE)     	410		Jy km/s             	3.55E+11	4.77E+08		Jy-Hz	2010PASJ...62..201I	no uncertainty reported	   354.505 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.55022835	-2.871709974
227	850 microns (SCUBA) 	455.7	+/-46.9 	 milliJy            	3.53E+11	4.56E-01	+/-4.69E-02	Jy	2004MNRAS.352..673A	uncertainty	       850 microns   	 Broad-band measurement	15 34 57.22 +23 30 11.61 (J2000)	 Flux integrated from map	                                        	From new raw data	11.54777471	-11.88880986
228	850 microns (SCUBA) 	832	+/-86   	milliJy             	3.53E+11	8.32E-01	+/-8.60E-02	Jy	2000MNRAS.315..115D	uncertainty	 850       microns   	 Broad-band measurement	153457.2 +233011 (J2000)	 Flux integrated from map	                                        	From new raw data; Corrected for contaminating sources	11.54777471	-11.62765138
229	CO(3-2) (SMA)       	301	+/-10  %	Jy km/s             	3.46E+11	3.42E+08	+/-3.42E+07	Jy-Hz	2009ApJ...700L.104S	1 sigma	    345.80 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	West nucleaus flux                      	From new raw data	11.5390761	-3.005049993
230	CO(3-2) (SMA)       	250	+/-10  %	Jy km/s             	3.46E+11	2.84E+08	+/-2.84E+07	Jy-Hz	2009ApJ...700L.104S	1 sigma	    345.80 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	East nucleaus flux                      	From new raw data	11.5390761	-3.085757759
231	0.87 mm (SMA)       	0.49	+/-10  %	Jy                  	3.45E+11	4.90E-01	+/-4.90E-02	Jy	2009ApJ...700L.104S	1 sigma	    0.87   mm        	 Broad-band measurement		 Flux integrated from map	West nucleaus flux                      	From new raw data	11.5378191	-11.84762302
232	0.87 mm (SMA)       	0.18	+/-10  %	Jy                  	3.45E+11	1.80E-01	+/-1.80E-02	Jy	2009ApJ...700L.104S	1 sigma	    0.87   mm        	 Broad-band measurement		 Flux integrated from map	East nucleaus flux                      	From new raw data	11.5378191	-12.28254659
233	HNC(3-2) line (SMA) 	130	+/-20   	 Jy km/s            	2.77E+11	1.16E+08	+/-1.78E+07	Jy-Hz	2009A&A...493..481A	uncertainty	  271.981  GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.23 +23 30 11.5 (J2000)	 Flux integrated from map	West nucleus                            	From new raw data	11.44247977	-3.37802178
234	277 GHz (SMA)       	152	+/-19   	 milliJy            	2.77E+11	1.52E-01	+/-1.90E-02	Jy	2009A&A...493..481A	uncertainty	      277  GHz       	 Broad-band measurement	15 34 57.23 +23 30 11.5 (J2000)	 Flux integrated from map	West nucleus                            	From new raw data	11.44247977	-12.26063618
235	277 GHz (SMA)       	57.6	+/-16   	 milliJy            	2.77E+11	5.76E-02	+/-1.60E-02	Jy	2009A&A...493..481A	uncertainty	      277  GHz       	 Broad-band measurement	15 34 57.31 +23 30 11.4 (J2000)	 Flux integrated from map	East nucleus                            	From new raw data	11.44247977	-12.68205729
236	1.1 mm (SMA)        	0.2	+/-15  %	Jy                  	2.73E+11	2.00E-01	+/-3.00E-02	Jy	2009ApJ...700L.104S	1 sigma	    1.1    mm        	 Broad-band measurement		 Flux integrated from map	West nucleaus flux                      	From new raw data	11.43616265	-12.13513265
237	1.1 mm (SMA)        	0.33	+/-0.05 	Jy                  	2.73E+11	3.30E-01	+/-5.00E-02	Jy	2009ApJ...700L.104S	uncertainty	    1.1    mm        	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	11.43616265	-11.91764871
238	1100 microns        	0.35	+/-0.019	Jy                  	2.73E+11	3.50E-01	+/-1.90E-02	Jy	1996MNRAS.278.1049R	based on count statistics only	1100       microns   	 Broad-band measurement	153457.22 +233011.40 (J2000)	 Flux in fixed aperture	"19"" FWHP                                "	From new raw data	11.43616265	-11.8920946
239	1100 microns        		<0.6       	Jy                  	2.73E+11		6.00E-01	Jy	1989ApJ...339..859E	3 sigma	    1100   microns   	 Broad-band measurement		 Flux in fixed aperture	"104"" aperture                           "	From new raw data	11.43616265	#NUM!
240	1.1 mm (SMA)        	0.07	+/-15  %	Jy                  	2.73E+11	7.00E-02	+/-1.05E-02	Jy	2009ApJ...700L.104S	1 sigma	    1.1    mm        	 Broad-band measurement		 Flux integrated from map	East nucleaus flux                      	From new raw data	11.43616265	-12.59106461
241	HNC(3-2) line (SMA) 	18	+/-9    	 Jy km/s            	2.72E+11	1.60E+07	+/-8.02E+06	Jy-Hz	2009A&A...493..481A	uncertainty	  271.981  GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.31 +23 30 11.4 (J2000)	 Flux integrated from map	East nucleus                            	From new raw data	11.4345689	-4.230448921
242	HCO^+^(3-2) (SMA)   	35	+/-15  %	Jy km/s             	2.68E+11	3.07E+07	+/-4.61E+06	Jy-Hz	2009ApJ...700L.104S	1 sigma	    267.56 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	East nucleaus flux                      	From new raw data	11.42813479	-3.940996419
243	HCO^+^(3-2) (SMA)   	63	+/-15  %	Jy km/s             	2.68E+11	5.53E+07	+/-8.30E+06	Jy-Hz	2009ApJ...700L.104S	1 sigma	    267.56 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	West nucleaus flux                      	From new raw data	11.42813479	-3.685409663
244	240.904 GHz (SMA)   	216		milliJy             	2.41E+11	2.16E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   240.904 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 2.9"" x 2.2""; PA = -55deg         "	From new raw data	11.38201704	-12.04756329
245	1.25 mm             	0.226	+/-0.01 	Jy                  	2.40E+11	2.26E-01	+/-1.00E-02	Jy	1992PASP..104.1086C	uncertainty	    1.25   mm        	 Broad-band measurement		 Flux in fixed aperture	"30"" aperture                            "	From new raw data	11.38021124	-12.0261028
246	238.920 GHz (SMA)   	205		milliJy             	2.39E+11	2.05E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   238.920 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 3.1"" x 2.4""; PA = -54deg         "	From new raw data	11.3783979	-12.06664404
247	236.936 GHz (SMA)   	204		milliJy             	2.37E+11	2.04E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   236.936 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 2.9"" x 2.4""; PA = -50deg         "	From new raw data	11.37474835	-12.06511818
248	234.952 GHz (SMA)   	177		milliJy             	2.35E+11	1.77E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   234.952 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 3.7"" x 2.8""; PA = -41deg         "	From new raw data	11.37106786	-12.1230946
249	232.968 GHz (SMA)   	153		milliJy             	2.33E+11	1.53E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   232.968 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 2.9"" x 2.4""; PA = -47deg         "	From new raw data	11.36735592	-12.18266449
250	230.904 GHz (SMA)   	503		milliJy             	2.31E+11	5.03E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   230.904 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 2.9"" x 2.3""; PA = -61deg         "	From new raw data	11.36361198	-11.66204399
251	CO(2-1) (SMA)       	1650	+/-50   	Jy km/s             	2.31E+11	1.25E+09	+/-3.78E+07	Jy-Hz	2011A&A...527A..36M	uncertainty	   230.538 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.36361198	-2.266701967
252	1.3 mm              	1.8	+/-0.5  	Jy                  	2.31E+11	1.80E+00	+/-5.00E-01	Jy	1986A&A...166L...8C	statistical error	1.3        A         	 Broad-band measurement		 Flux in fixed aperture	"1/2 power beamwidth=90""; abs errors 20% "	From new raw data	11.36361198	-11.10833947
253	1.3 mm (NRAO)       	0.34	+/-0.08 	Jy                  	2.31E+11	3.40E-01	+/-8.00E-02	Jy	1987ApJ...318..645T	uncertainty	       1.3 mm        	 Broad-band measurement	153247.3 +234006 (B1950)	 Not reported in paper	"Beam size = 33""                         "	From new raw data	11.36361198	-11.83213306
254	^12^CO(2-1) (SMA)   	1430	+/-290  	Jy km/s             	2.30E+11	1.08E+09	+/-2.19E+08	Jy-Hz	2009ApJ...693...56M	uncertainty	   230.538 GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.19 +23 30 11.3 (J2000)	 Flux integrated from map	                                        	From new raw data	11.36172784	-2.328304081
255	228.920 GHz (SMA)   	194		milliJy             	2.29E+11	1.94E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   228.920 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 3.2"" x 2.4""; PA = -62deg         "	From new raw data	11.35983548	-12.07203375
256	226.936 GHz (SMA)   	202		milliJy             	2.27E+11	2.02E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   226.936 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 2.9"" x 2.6""; PA = -54deg         "	From new raw data	11.35602586	-12.05067449
257	226 GHz (SMA)       	167	+/-33   	milliJy             	2.26E+11	1.67E-01	+/-3.30E-02	Jy	2009ApJ...693...56M	uncertainty	    226.46 GHz       	 Broad-band measurement	15 34 57.19 +23 30 11.3 (J2000)	 Total flux	                                        	From new raw data	11.35410844	-12.13139197
258	224.952 GHz (SMA)   	165		milliJy             	2.25E+11	1.65E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   224.952 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 3.6"" x 2.9""; PA = -49deg         "	From new raw data	11.35218252	-12.13469857
259	222.968 GHz (SMA)   	145		milliJy             	2.23E+11	1.45E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   222.968 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 2.9"" x 2.6""; PA = -49deg         "	From new raw data	11.34830486	-12.18693686
260	1350 microns (SCUBA)	271	+/-32.3 	 milliJy            	2.22E+11	2.71E-01	+/-3.23E-02	Jy	2004MNRAS.352..673A	uncertainty	      1350 microns   	 Broad-band measurement	15 34 57.22 +23 30 11.61 (J2000)	 Flux integrated from map	                                        	From new raw data	11.34635297	-11.91338368
261	220.984 GHz (SMA)   	218		milliJy             	2.21E+11	2.18E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   220.984 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 9.5"" x 6.7""; PA = +47deg         "	From new raw data	11.34439227	-12.00593578
262	^13^CO(2-1) (SMA)   	45.7	+/-9.1  	Jy km/s             	2.20E+11	3.30E+07	+/-6.76E+06	Jy-Hz	2009ApJ...693...56M	uncertainty	   220.398 GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.19 +23 30 11.3 (J2000)	 Flux integrated from map	                                        	From new raw data	11.34242268	-3.823908741
